eta;run;va_mean;std
0.00000000;1;1.00000000;0.00000000
0.00000000;2;1.00000000;0.00000000
0.00000000;3;1.00000000;0.00000000
0.00000000;4;1.00000000;0.00000000
0.00000000;5;1.00000000;0.00000000
0.00000000;6;1.00000000;0.00000000
0.00000000;7;1.00000000;0.00000000
0.00000000;8;1.00000000;0.00000000
0.00000000;9;1.00000000;0.00000000
0.00000000;10;1.00000000;0.00000000
0.20000000;1;0.99782365;0.00031680
0.20000000;2;0.99772006;0.00041404
0.20000000;3;0.99784499;0.00026306
0.20000000;4;0.99788907;0.00031880
0.20000000;5;0.99780037;0.00046248
0.20000000;6;0.99783328;0.00028587
0.20000000;7;0.99771528;0.00030572
0.20000000;8;0.99797478;0.00018792
0.20000000;9;0.99779340;0.00031076
0.20000000;10;0.99797869;0.00018836
0.40000000;1;0.99199400;0.00073615
0.40000000;2;0.99099737;0.00128757
0.40000000;3;0.99071674;0.00149221
0.40000000;4;0.99110382;0.00118053
0.40000000;5;0.99170394;0.00090823
0.40000000;6;0.99001247;0.00335619
0.40000000;7;0.99105151;0.00122188
0.40000000;8;0.99107166;0.00122886
0.40000000;9;0.99092923;0.00116599
0.40000000;10;0.99100191;0.00135803
0.60000000;1;0.97983770;0.00263886
0.60000000;2;0.97948447;0.00265084
0.60000000;3;0.97921364;0.00373101
0.60000000;4;0.97919516;0.00367899
0.60000000;5;0.97957768;0.00267070
0.60000000;6;0.97890164;0.00305194
0.60000000;7;0.97917602;0.00316058
0.60000000;8;0.97910692;0.00327568
0.60000000;9;0.98018578;0.00218873
0.60000000;10;0.98025633;0.00245545
0.80000000;1;0.96455827;0.00481039
0.80000000;2;0.96512447;0.00465828
0.80000000;3;0.96336269;0.00525867
0.80000000;4;0.96496512;0.00472381
0.80000000;5;0.96587816;0.00486858
0.80000000;6;0.96308418;0.00531680
0.80000000;7;0.96333400;0.00631002
0.80000000;8;0.96395482;0.00465928
0.80000000;9;0.96267517;0.00586319
0.80000000;10;0.96453596;0.00464763
1.00000000;1;0.94342934;0.00810895
1.00000000;2;0.94428314;0.00682037
1.00000000;3;0.94366728;0.00747190
1.00000000;4;0.94484808;0.00725961
1.00000000;5;0.94282757;0.00841429
1.00000000;6;0.94471624;0.00764152
1.00000000;7;0.94178539;0.00904066
1.00000000;8;0.94448090;0.00695924
1.00000000;9;0.94376993;0.00700092
1.00000000;10;0.94386052;0.00713976
1.20000000;1;0.91565764;0.01294911
1.20000000;2;0.92135369;0.00965266
1.20000000;3;0.92056777;0.00954250
1.20000000;4;0.91763616;0.01172830
1.20000000;5;0.92021576;0.00987937
1.20000000;6;0.92008161;0.01015085
1.20000000;7;0.91941491;0.01107377
1.20000000;8;0.91968994;0.01047504
1.20000000;9;0.92018349;0.01076547
1.20000000;10;0.91716002;0.01463635
1.40000000;1;0.89387529;0.01387968
1.40000000;2;0.89242182;0.01531064
1.40000000;3;0.88964409;0.01503553
1.40000000;4;0.89072305;0.01560870
1.40000000;5;0.88960993;0.01588009
1.40000000;6;0.89119836;0.01446761
1.40000000;7;0.88953627;0.01809397
1.40000000;8;0.88994591;0.01555578
1.40000000;9;0.88972409;0.01593717
1.40000000;10;0.88473973;0.02044147
1.60000000;1;0.85452706;0.02117685
1.60000000;2;0.86009150;0.02147330
1.60000000;3;0.85938015;0.01812517
1.60000000;4;0.86339059;0.01566479
1.60000000;5;0.85650009;0.01849119
1.60000000;6;0.85390776;0.02072503
1.60000000;7;0.85991797;0.02133224
1.60000000;8;0.86253734;0.01668752
1.60000000;9;0.85866822;0.02081266
1.60000000;10;0.86214556;0.01745053
1.80000000;1;0.82317357;0.02243412
1.80000000;2;0.82809257;0.02123944
1.80000000;3;0.82084153;0.02378039
1.80000000;4;0.82479346;0.02147660
1.80000000;5;0.82170502;0.02616956
1.80000000;6;0.82599028;0.02157786
1.80000000;7;0.81821779;0.02561655
1.80000000;8;0.81870448;0.02838587
1.80000000;9;0.82063141;0.02586176
1.80000000;10;0.82655206;0.02240768
2.00000000;1;0.78367768;0.02597756
2.00000000;2;0.78850890;0.02859562
2.00000000;3;0.77987009;0.03127040
2.00000000;4;0.78400271;0.02996666
2.00000000;5;0.78435768;0.02632444
2.00000000;6;0.78597052;0.02649574
2.00000000;7;0.78175735;0.03100296
2.00000000;8;0.77917858;0.03631652
2.00000000;9;0.77928777;0.03604362
2.00000000;10;0.78605502;0.02730677
2.20000000;1;0.73831822;0.03453825
2.20000000;2;0.75011829;0.03039652
2.20000000;3;0.74036117;0.03480731
2.20000000;4;0.74180442;0.03439220
2.20000000;5;0.73980581;0.03434185
2.20000000;6;0.73584989;0.03304764
2.20000000;7;0.73347740;0.03677740
2.20000000;8;0.74458302;0.03102547
2.20000000;9;0.73576519;0.04390959
2.20000000;10;0.74574729;0.03167186
2.40000000;1;0.69957259;0.03800161
2.40000000;2;0.69704592;0.03699094
2.40000000;3;0.70264047;0.03479279
2.40000000;4;0.69676750;0.03746070
2.40000000;5;0.69447432;0.03911202
2.40000000;6;0.69404513;0.05920979
2.40000000;7;0.69960012;0.03829986
2.40000000;8;0.70156956;0.03500285
2.40000000;9;0.69429494;0.04044002
